,Unnamed: 0,Unnamed: 0.1,category,filename,label,shard_iid,shard_non_iid,shape
0,0,18,Black-grass,train_256x256x3/Black-grass/0fe440ed5.png,0,1,1,"(753, 753, 3)"
1,1,137,Black-grass,train_256x256x3/Black-grass/89f06ca64.png,0,6,1,"(481, 481, 3)"
2,2,231,Black-grass,train_256x256x3/Black-grass/e2b2a20b2.png,0,7,1,"(74, 74, 3)"
3,3,167,Black-grass,train_256x256x3/Black-grass/a8ab1ff26.png,0,7,1,"(936, 1040, 4)"
4,4,188,Black-grass,train_256x256x3/Black-grass/b937353c0.png,0,2,1,"(197, 197, 3)"
5,5,238,Black-grass,train_256x256x3/Black-grass/e7d7e6351.png,0,7,1,"(740, 740, 3)"
6,6,162,Black-grass,train_256x256x3/Black-grass/a53088ca0.png,0,9,1,"(1620, 1620, 3)"
7,7,47,Black-grass,train_256x256x3/Black-grass/3002e5d9d.png,0,0,1,"(733, 733, 3)"
8,8,101,Black-grass,train_256x256x3/Black-grass/6172f64fd.png,0,0,1,"(352, 352, 3)"
9,9,222,Black-grass,train_256x256x3/Black-grass/da5082ce2.png,0,1,1,"(603, 603, 3)"
10,10,8,Black-grass,train_256x256x3/Black-grass/0b228a6b8.png,0,2,1,"(531, 531, 3)"
11,11,64,Black-grass,train_256x256x3/Black-grass/3ff68fa8a.png,0,6,1,"(107, 107, 3)"
12,12,28,Black-grass,train_256x256x3/Black-grass/1a125880e.png,0,2,1,"(1718, 1949, 3)"
13,13,25,Black-grass,train_256x256x3/Black-grass/163e571a6.png,0,2,1,"(247, 247, 3)"
14,14,16,Black-grass,train_256x256x3/Black-grass/0dad57e7f.png,0,5,1,"(351, 351, 3)"
15,15,36,Black-grass,train_256x256x3/Black-grass/22be204a3.png,0,1,1,"(685, 685, 3)"
16,16,232,Black-grass,train_256x256x3/Black-grass/e47987eab.png,0,0,1,"(1320, 1321, 3)"
17,17,89,Black-grass,train_256x256x3/Black-grass/550dfcb36.png,0,2,1,"(874, 874, 3)"
